PREDICTED_COLOR_2_HOURS,ACTUAL_COLOR,PROBABILITY_COLOR_2_HOURS
Green/Yellow,Green/Yellow,0.154
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.36
Green/Yellow,Green/Yellow,0.312
Green/Yellow,Green/Yellow,0.054
Green/Yellow,Green/Yellow,0.004
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.03
Green/Yellow,Green/Yellow,0.482
Orange/Red,Orange/Red,0.602
Green/Yellow,Green/Yellow,0.206
Green/Yellow,Green/Yellow,0.278
Green/Yellow,Green/Yellow,0.42
Green/Yellow,Green/Yellow,0.288
Green/Yellow,Green/Yellow,0.146
Green/Yellow,Green/Yellow,0.004
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.016
Orange/Red,Orange/Red,0.946
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.02
Green/Yellow,Green/Yellow,0.188
Orange/Red,Green/Yellow,0.708
Green/Yellow,Green/Yellow,0.054
Green/Yellow,Green/Yellow,0.29
Orange/Red,Green/Yellow,0.622
Green/Yellow,Green/Yellow,0.312
Orange/Red,Green/Yellow,0.638
Green/Yellow,Green/Yellow,0.024
Green/Yellow,Green/Yellow,0.238
Green/Yellow,Green/Yellow,0.04
Green/Yellow,Green/Yellow,0.052
Green/Yellow,Green/Yellow,0.174
Green/Yellow,Green/Yellow,0.248
Orange/Red,Orange/Red,0.718
Green/Yellow,Green/Yellow,0.184
Green/Yellow,Green/Yellow,0.02
Orange/Red,Orange/Red,0.928
Green/Yellow,Green/Yellow,0.008
Green/Yellow,Green/Yellow,0.298
Green/Yellow,Green/Yellow,0.046
Green/Yellow,Green/Yellow,0.136
Green/Yellow,Green/Yellow,0.11
Green/Yellow,Green/Yellow,0.48
Green/Yellow,Green/Yellow,0.022
Green/Yellow,Green/Yellow,0.138
Green/Yellow,Green/Yellow,0.07
Orange/Red,Green/Yellow,0.784
Orange/Red,Orange/Red,0.934
Green/Yellow,Green/Yellow,0.084
Green/Yellow,Green/Yellow,0.418
Green/Yellow,Green/Yellow,0.092
Green/Yellow,Green/Yellow,0.276
Green/Yellow,Green/Yellow,0.176
Green/Yellow,Green/Yellow,0
Orange/Red,Green/Yellow,0.798
Orange/Red,Green/Yellow,0.61
Green/Yellow,Green/Yellow,0.046
Green/Yellow,Green/Yellow,0.09
Green/Yellow,Green/Yellow,0.354
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.284
Orange/Red,Green/Yellow,0.558
Orange/Red,Green/Yellow,0.514
Orange/Red,Orange/Red,0.948
Orange/Red,Orange/Red,0.698
Orange/Red,Orange/Red,0.68
Green/Yellow,Green/Yellow,0.166
Orange/Red,Green/Yellow,0.794
Orange/Red,Green/Yellow,0.682
Green/Yellow,Green/Yellow,0.022
Green/Yellow,Green/Yellow,0.03
Green/Yellow,Green/Yellow,0.344
Green/Yellow,Green/Yellow,0.02
Green/Yellow,Green/Yellow,0.104
Green/Yellow,Green/Yellow,0.052
Green/Yellow,Green/Yellow,0.008
Green/Yellow,Green/Yellow,0.162
Green/Yellow,Green/Yellow,0.498
Green/Yellow,Green/Yellow,0.472
Green/Yellow,Green/Yellow,0.294
Green/Yellow,Green/Yellow,0.08
Orange/Red,Green/Yellow,0.514
Green/Yellow,Green/Yellow,0.46
Green/Yellow,Green/Yellow,0.17
Green/Yellow,Green/Yellow,0.174
Green/Yellow,Green/Yellow,0.154
Green/Yellow,Green/Yellow,0.028
Green/Yellow,Green/Yellow,0.062
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.062
Green/Yellow,Green/Yellow,0.478
Orange/Red,Green/Yellow,0.722
Green/Yellow,Green/Yellow,0.046
Green/Yellow,Green/Yellow,0.026
Green/Yellow,Green/Yellow,0.232
Green/Yellow,Green/Yellow,0.008
Green/Yellow,Green/Yellow,0.084
Green/Yellow,Green/Yellow,0.488
Green/Yellow,Green/Yellow,0.1
Green/Yellow,Green/Yellow,0.066
Green/Yellow,Green/Yellow,0.134
Green/Yellow,Green/Yellow,0.438
Green/Yellow,Green/Yellow,0.106
Orange/Red,Orange/Red,0.958
Orange/Red,Orange/Red,0.8
Green/Yellow,Green/Yellow,0
Orange/Red,Green/Yellow,0.78
Green/Yellow,Green/Yellow,0.054
Orange/Red,Green/Yellow,0.62
Orange/Red,Green/Yellow,0.646
Green/Yellow,Green/Yellow,0.142
Green/Yellow,Green/Yellow,0
Orange/Red,Orange/Red,0.864
Green/Yellow,Green/Yellow,0.034
Green/Yellow,Green/Yellow,0.344
Orange/Red,Orange/Red,0.764
Green/Yellow,Green/Yellow,0.156
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0.228
Green/Yellow,Green/Yellow,0.198
Green/Yellow,Green/Yellow,0.04
Orange/Red,Orange/Red,0.964
Green/Yellow,Green/Yellow,0.47
Orange/Red,Green/Yellow,0.832
Green/Yellow,Green/Yellow,0.13
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0.408
Green/Yellow,Green/Yellow,0.036
Green/Yellow,Green/Yellow,0.452
Orange/Red,Green/Yellow,0.582
Orange/Red,Green/Yellow,0.856
Green/Yellow,Green/Yellow,0.028
Green/Yellow,Green/Yellow,0.084
Orange/Red,Orange/Red,0.76
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.016
Green/Yellow,Green/Yellow,0.01
Green/Yellow,Green/Yellow,0.31
Orange/Red,Green/Yellow,0.502
Green/Yellow,Green/Yellow,0.014
Orange/Red,Orange/Red,0.646
Green/Yellow,Green/Yellow,0.022
Orange/Red,Orange/Red,0.644
Orange/Red,Green/Yellow,0.776
Orange/Red,Green/Yellow,0.59
Green/Yellow,Green/Yellow,0.012
Orange/Red,Orange/Red,0.958
Orange/Red,Green/Yellow,0.512
Green/Yellow,Green/Yellow,0.056
Green/Yellow,Green/Yellow,0.02
Green/Yellow,Green/Yellow,0.004
Green/Yellow,Green/Yellow,0.272
Orange/Red,Green/Yellow,0.536
Green/Yellow,Green/Yellow,0.08
Green/Yellow,Green/Yellow,0.486
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.238
Green/Yellow,Green/Yellow,0.008
Orange/Red,Green/Yellow,0.638
Green/Yellow,Green/Yellow,0.262
Green/Yellow,Green/Yellow,0.012
Orange/Red,Green/Yellow,0.792
Green/Yellow,Green/Yellow,0.41
Green/Yellow,Green/Yellow,0.152
Green/Yellow,Green/Yellow,0.164
Green/Yellow,Green/Yellow,0.02
Green/Yellow,Green/Yellow,0.076
Green/Yellow,Green/Yellow,0.086
Green/Yellow,Green/Yellow,0.002
Orange/Red,Green/Yellow,0.652
Orange/Red,Green/Yellow,0.756
Green/Yellow,Green/Yellow,0.046
Green/Yellow,Green/Yellow,0.404
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.15
Orange/Red,Green/Yellow,0.588
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.002
Orange/Red,Green/Yellow,0.564
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.022
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.064
Green/Yellow,Green/Yellow,0.028
Green/Yellow,Green/Yellow,0.052
Orange/Red,Green/Yellow,0.604
Green/Yellow,Green/Yellow,0.318
Green/Yellow,Green/Yellow,0.226
Green/Yellow,Green/Yellow,0.022
Green/Yellow,Green/Yellow,0.082
Orange/Red,Green/Yellow,0.844
Green/Yellow,Green/Yellow,0.074
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.028
Green/Yellow,Green/Yellow,0.002
Green/Yellow,Green/Yellow,0.426
Green/Yellow,Green/Yellow,0
Orange/Red,Orange/Red,0.882
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Orange/Red,0.108
Orange/Red,Green/Yellow,0.662
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.078
Green/Yellow,Green/Yellow,0.032
Green/Yellow,Green/Yellow,0.024
Green/Yellow,Green/Yellow,0.286
Green/Yellow,Green/Yellow,0.236
Green/Yellow,Green/Yellow,0.014
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.298
Green/Yellow,Green/Yellow,0.396
Green/Yellow,Green/Yellow,0.02
Orange/Red,Green/Yellow,0.696
Orange/Red,Green/Yellow,0.532
Green/Yellow,Green/Yellow,0.056
Green/Yellow,Green/Yellow,0.006
Green/Yellow,Green/Yellow,0.104
Orange/Red,Green/Yellow,0.648
Green/Yellow,Green/Yellow,0.042
Green/Yellow,Green/Yellow,0.44
Green/Yellow,Green/Yellow,0
Green/Yellow,Green/Yellow,0.418
Green/Yellow,Green/Yellow,0.364
Green/Yellow,Green/Yellow,0.34
Green/Yellow,Green/Yellow,0.04
